strategy,macd_short,macd_long,macd_signal,rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std,volume_threshold,capital_final,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_win,avg_loss,timestamp
multi_indicator,12,24,7,16,30,75,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:20.819958
multi_indicator,12,24,7,16,30,75,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:20.922164
multi_indicator,12,24,7,14,25,70,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:15.336708
multi_indicator,12,24,7,14,25,70,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:15.240993
multi_indicator,12,24,7,14,25,75,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:16.253601
multi_indicator,12,24,7,14,25,75,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:16.160481
multi_indicator,12,24,7,14,25,75,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:16.072487
multi_indicator,12,24,7,14,25,75,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:15.974266
multi_indicator,12,24,7,14,30,70,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:17.002420
multi_indicator,12,24,7,14,30,70,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:16.919984
multi_indicator,12,24,7,14,30,70,20,1.8,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:16.827275
multi_indicator,12,24,7,14,30,70,20,1.8,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:16.734218
multi_indicator,12,24,7,14,25,70,20,2.0,1.2,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:15.519593
multi_indicator,12,24,7,14,25,70,20,2.0,1.0,9742.41,-2.58,-17.064,-2.58,29.41,2.593,17,2.16,-0.83,2025-07-22T21:29:15.427626
multi_indicator,10,26,9,14,25,70,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:09.111370
multi_indicator,10,26,9,14,25,70,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:09.015376
multi_indicator,10,26,9,16,30,75,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:14.482694
multi_indicator,10,26,9,16,30,75,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:14.572114
multi_indicator,10,26,9,16,25,75,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:12.984267
multi_indicator,10,26,9,16,25,75,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:12.875998
multi_indicator,10,26,9,16,30,70,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:13.700017
multi_indicator,10,26,9,16,30,70,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:13.802462
multi_indicator,10,26,9,16,25,70,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:12.074900
multi_indicator,10,26,9,16,25,70,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:12.195045
multi_indicator,10,26,9,14,30,70,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:10.655625
multi_indicator,10,26,9,14,30,70,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:10.568635
multi_indicator,10,26,9,14,30,75,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:11.438881
multi_indicator,10,26,9,14,30,75,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:11.342754
multi_indicator,10,26,9,14,25,75,20,1.8,1.0,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:09.811458
multi_indicator,10,26,9,14,25,75,20,1.8,1.2,9743.53,-2.56,-17.068,-2.56,29.41,2.772,17,2.16,-0.78,2025-07-22T21:29:09.901693
multi_indicator,12,26,7,16,25,70,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:32.838239
multi_indicator,12,26,7,16,25,70,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:32.717929
multi_indicator,12,26,7,16,25,75,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:33.814681
multi_indicator,12,26,7,16,25,75,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:33.696812
multi_indicator,12,26,7,16,30,70,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:34.755507
multi_indicator,12,26,7,16,30,70,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:34.641173
multi_indicator,12,26,7,16,30,75,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:35.661819
multi_indicator,12,26,7,16,30,75,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:35.547753
multi_indicator,12,26,7,14,25,75,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:29.827656
multi_indicator,12,26,7,14,25,75,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:29.941499
multi_indicator,12,26,7,14,25,70,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:28.865371
multi_indicator,12,26,7,14,25,70,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:28.983222
multi_indicator,12,26,7,14,30,75,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:31.735617
multi_indicator,12,26,7,14,30,75,20,1.8,1.2,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:31.868147
multi_indicator,12,26,7,14,30,70,20,1.8,1.0,9743.49,-2.57,-17.07,-2.57,29.41,2.768,17,2.16,-0.78,2025-07-22T21:29:30.791159
